iter	Passed	Remaining
0	0	87
1	0	73
2	1	67
3	1	63
4	1	60
5	1	59
6	2	58
7	2	56
8	2	55
9	2	56
10	3	56
11	3	56
12	3	55
13	4	54
14	4	53
15	4	53
16	4	52
17	5	52
18	5	51
19	5	51
20	5	51
21	6	50
22	6	49
23	6	49
24	7	49
25	7	48
26	7	48
27	7	47
28	8	47
29	8	47
30	8	47
31	8	46
32	9	46
33	9	46
34	9	46
35	10	45
36	10	46
37	10	45
38	11	46
39	11	46
40	11	46
41	12	45
42	12	45
43	12	45
44	12	44
45	13	44
46	13	43
47	13	43
48	14	43
49	14	42
50	14	42
51	14	42
52	15	41
53	15	41
54	15	41
55	15	40
56	16	40
57	16	40
58	16	39
59	16	39
60	17	39
61	17	38
62	17	38
63	18	38
64	18	38
65	18	37
66	18	37
67	19	37
68	19	36
69	19	36
70	19	36
71	20	35
72	20	35
73	20	35
74	20	34
75	21	34
76	21	34
77	21	34
78	22	33
79	22	33
80	22	33
81	22	32
82	23	32
83	23	32
84	23	31
85	23	31
86	24	31
87	24	30
88	24	30
89	24	30
90	25	30
91	25	29
92	25	29
93	25	29
94	26	28
95	26	28
96	26	28
97	26	28
98	27	27
99	27	27
100	27	27
101	27	26
102	28	26
103	28	26
104	28	25
105	28	25
106	29	25
107	29	25
108	29	24
109	29	24
110	30	24
111	30	23
112	30	23
113	30	23
114	31	23
115	31	22
116	31	22
117	32	22
118	32	21
119	32	21
120	32	21
121	33	21
122	33	20
123	33	20
124	33	20
125	34	19
126	34	19
127	34	19
128	34	19
129	35	18
130	35	18
131	35	18
132	35	18
133	36	17
134	36	17
135	36	17
136	36	16
137	37	16
138	37	16
139	37	16
140	38	15
141	38	15
142	38	15
143	38	15
144	39	14
145	39	14
146	39	14
147	39	14
148	40	13
149	40	13
150	40	13
151	41	13
152	41	12
153	41	12
154	42	12
155	42	12
156	42	11
157	43	11
158	44	11
159	44	11
160	44	10
161	44	10
162	45	10
163	45	9
164	45	9
165	45	9
166	46	9
167	46	8
168	46	8
169	46	8
170	47	8
171	47	7
172	47	7
173	48	7
174	48	6
175	48	6
176	48	6
177	49	6
178	49	5
179	49	5
180	50	5
181	50	5
182	50	4
183	51	4
184	51	4
185	51	3
186	52	3
187	52	3
188	52	3
189	52	2
190	53	2
191	53	2
192	53	1
193	54	1
194	54	1
195	54	1
196	54	0
197	55	0
198	55	0
199	55	0
