iter	Passed	Remaining
0	0	331
1	0	332
2	0	308
3	1	298
4	1	290
5	1	281
6	1	276
7	2	272
8	2	270
9	2	275
10	3	280
11	3	278
12	3	277
13	3	274
14	4	272
15	4	272
16	4	271
17	4	269
18	5	272
19	5	274
20	5	273
21	6	302
22	7	299
23	7	297
24	7	296
25	7	294
26	8	292
27	8	292
28	8	290
29	8	290
30	9	289
31	9	287
32	9	289
33	10	287
34	10	287
35	10	287
36	10	285
37	11	283
38	11	283
39	11	282
40	12	281
41	12	280
42	12	280
43	12	278
44	13	278
45	13	277
46	13	276
47	13	276
48	14	275
49	14	276
50	14	275
51	15	275
52	15	274
53	15	273
54	15	273
55	16	272
56	16	272
57	16	271
58	16	270
59	17	269
60	17	268
61	17	267
62	17	267
63	18	266
64	18	266
65	18	266
66	19	265
67	19	264
68	19	264
69	19	263
70	20	262
71	20	262
72	20	261
73	20	261
74	21	261
75	21	261
76	21	260
77	22	260
78	22	259
79	22	259
80	22	259
81	23	258
82	23	256
83	23	256
84	23	256
85	24	255
86	24	254
87	24	254
88	24	253
89	25	253
90	25	253
91	25	253
92	25	252
93	26	253
94	26	252
95	26	252
96	27	251
97	27	251
98	27	250
99	27	250
100	28	250
101	28	249
102	28	249
103	28	249
104	29	248
105	29	248
106	29	248
107	30	248
108	30	247
109	30	247
110	30	246
111	31	246
112	31	246
113	31	245
114	31	246
115	32	245
116	32	244
117	32	244
118	33	244
119	33	243
120	33	243
121	33	243
122	34	248
123	35	247
124	35	247
125	35	246
126	35	245
127	36	245
128	36	245
129	36	245
130	36	244
131	37	244
132	37	244
133	37	243
134	38	243
135	38	243
136	38	242
137	38	242
138	39	242
139	39	241
140	39	241
141	39	240
142	40	239
143	40	239
144	40	239
145	40	239
146	41	238
147	41	238
148	41	237
149	41	237
150	42	237
151	42	236
152	42	236
153	42	235
154	43	235
155	43	234
156	43	234
157	43	234
158	44	233
159	44	233
160	44	232
161	44	231
162	45	231
163	45	231
164	45	230
165	45	230
166	46	229
167	46	229
168	46	229
169	46	228
170	47	228
171	47	228
172	47	227
173	47	227
174	48	227
175	48	226
176	48	226
177	49	226
178	49	226
179	49	225
180	49	225
181	50	225
182	50	224
183	50	224
184	50	224
185	51	223
186	51	223
187	51	223
188	51	223
189	52	222
190	52	222
191	52	222
192	53	222
193	53	222
194	53	222
195	54	221
196	54	221
197	54	220
198	54	220
199	55	220
200	55	220
201	55	219
202	55	219
203	56	219
204	56	219
205	56	218
206	57	218
207	57	218
208	57	218
209	57	217
210	58	217
211	58	217
212	58	216
213	59	216
214	59	216
215	59	216
216	59	215
217	60	215
218	60	215
219	60	214
220	60	214
221	61	214
222	61	213
223	61	213
224	61	213
225	62	212
226	62	212
227	62	212
228	62	211
229	63	211
230	63	211
231	63	210
232	63	210
233	64	210
234	64	209
235	64	209
236	65	209
237	65	208
238	65	208
239	65	208
240	66	208
241	66	207
242	66	207
243	66	207
244	67	206
245	67	206
246	67	206
247	67	205
248	68	205
249	68	205
250	68	204
251	68	204
252	69	204
253	69	204
254	69	203
255	70	203
256	70	203
257	70	203
258	70	203
259	71	202
260	71	202
261	71	201
262	72	203
263	72	203
264	73	203
265	73	202
266	73	202
267	74	202
268	74	201
269	74	201
270	74	201
271	75	200
272	75	200
273	75	200
274	75	200
275	76	199
276	76	199
277	76	199
278	77	199
279	77	199
280	77	198
281	77	198
282	78	198
283	78	197
284	78	197
285	78	197
286	79	197
287	79	196
288	79	196
289	80	196
290	80	195
291	80	195
292	81	195
293	81	195
294	81	194
295	81	194
296	82	194
297	82	193
298	82	193
299	82	193
300	83	193
301	83	192
302	83	192
303	83	192
304	84	191
